origin_place_id,origin_place_name,destination_place_id,destination_place_name,media_hora
2144,"Acailandia, MA",3414,"Milagres, CE",9999.0000
2144,"Acailandia, MA",3423,"Miranda, MS",9999.0000
2144,"Acailandia, MA",3426,"Missao Velha, CE",9999.0000
2144,"Acailandia, MA",3435,"Monsenhor Gil, PI",9999.0000
2144,"Acailandia, MA",3447,"Mor. Nova, PA",9999.0000
2144,"Acailandia, MA",3502,"Nova Olinda, CE",9999.0000
2144,"Acailandia, MA",3516,"Olho D' Ag Cunha, MA",9999.0000
2144,"Acailandia, MA",3532,"Ouricuri, PE",9999.0000
2144,"Acailandia, MA",3584,"Parnamiri, PE",9999.0000
2144,"Acailandia, MA",3585,"Parnamirim, RN",9999.0000
2144,"Acailandia, MA",3593,"Patos, PB",9999.0000
2144,"Acailandia, MA",3631,"Peritoro, MA",7.0000
2144,"Acailandia, MA",3635,"Pesqueira, PE",9999.0000
2144,"Acailandia, MA",3641,"Picos, PI",9999.0000
2144,"Acailandia, MA",3673,"Piripiri, PI",15.0000
2144,"Acailandia, MA",3686,"Pombal, PB",9999.0000
2144,"Acailandia, MA",3719,"Porto Franco, MA",9999.0000
2144,"Acailandia, MA",3739,"Potengi, CE",9999.0000
2144,"Acailandia, MA",3765,"Pst Nv Horiz, PI",9999.0000
2144,"Acailandia, MA",3792,"Recife, PE",9999.0000
2144,"Acailandia, MA",3856,"Rondon Para, PA",9999.0000
2144,"Acailandia, MA",3868,"Salgueiro, PE",9999.0000
2144,"Acailandia, MA",3889,"Santa Gertrude, PB",9999.0000
2144,"Acailandia, MA",3892,"Santa Ines, MA",9999.0000
2144,"Acailandia, MA",3896,"Santa Luzia, MS",9999.0000
2144,"Acailandia, MA",3898,"Santa Luzia, PB",9999.0000
2144,"Acailandia, MA",3940,"Sao Bentinho, PB",9999.0000
2144,"Acailandia, MA",4006,"Sao Mamede, PB",9999.0000
2144,"Acailandia, MA",4040,"Selva, MA",9999.0000
2144,"Acailandia, MA",4048,"Serra Talhada, PE",9999.0000
2144,"Acailandia, MA",4064,"Sobral, CE",19.0000
2144,"Acailandia, MA",4066,"Soledade, PB",9999.0000
2144,"Acailandia, MA",4071,"Sousa, PB",9999.0000
2144,"Acailandia, MA",4122,"Teresina, PI",12.0000
2144,"Acailandia, MA",4127,"Tiangua, CE",18.0000
2144,"Acailandia, MA",4134,"Timon, MA",12.0000
2144,"Acailandia, MA",4161,"Trindade, PE",9999.0000
2144,"Acailandia, MA",4208,"Vagem Grande, MA",9999.0000
2144,"Acailandia, MA",4210,"Valenca, PI",9999.0000
2144,"Acailandia, MA",4263,"Vit Mearim, MA",9999.0000
2144,"Acailandia, MA",4264,"Vitor Freire, MA",9999.0000
2144,"Acailandia, MA",4266,"Vit S Antao, PE",9999.0000
2144,"Acailandia, MA",4277,"Ze Chicao, MA",9999.0000
2145,"Acampamento, ES",2152,"Afonso Claudio, ES",9999.0000
2145,"Acampamento, ES",2248,"Arace, ES",9999.0000
2145,"Acampamento, ES",2251,"Araguaia, ES",9999.0000
2145,"Acampamento, ES",2308,"B. Perdido, ES",9999.0000
2145,"Acampamento, ES",2433,"Brasperola, ES",9999.0000
2145,"Acampamento, ES",2436,"Brejetuba, ES",9999.0000
2145,"Acampamento, ES",2577,"Carolina, ES",9999.0000
2145,"Acampamento, ES",2641,"Conc. Castel, ES",9999.0000
2145,"Acampamento, ES",2741,"Dom. Martins, ES",9999.0000
2145,"Acampamento, ES",2765,"E. Brejetuba, ES",9999.0000
